"","ReleaseDate","Title","ProductionBudget","OpeningWeekend","DomesticBox Office","WorldwideBox Office","Trailer","MPAA_Rating","Production_Method","Genre","Running_Time","Keywords","Franchise","Production_Companies","Production_Countries","Source","Creative_Type","warner","Columbia","Universal_Pictures","Walt_Disney_Pictures","Marvel_Studios","Paramount_Pictures","Century_Fox","Relativity_Media","DreamWorks_Pictures","New_Line_Cinema","Dune_Entertainment","Canal_Plus","Regency_Enterprises","Lionsgate","BBC_Films","StudioCanal","Working_Title_Films","Blumhouse","BFI","France","Cine_Plus","Participant_Media","Village_Roadshow_Productions","Metro_Goldwyn_Mayer_Pictures","Year","month"
"1","Jun, 2020","The Flash: Flashpoint",NA,NA,NA,NA,0,NA,"Live Action","Action",NA,"D.C. Comics",1,"Warner Bros., D.C. Entertainment","United States","Based on Comic/Graphic Novel","Super Hero",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,"Jun"
"2","May 22, 2020","Godzilla Vs. Kong",NA,NA,NA,NA,0,NA,"Live Action","Action",NA,NA,1,"Warner Bros., Legendary Pictures","United States","Compilation","Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,"May"
"3","May 15, 2020","S.C.O.O.B.",NA,NA,NA,NA,0,NA,"Digital Animation","Adventure",NA,NA,1,"Warner Animation Group, Atlas Entertainment, Warner Bros.","United States","Based on TV","Kids Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,"May"
"4","Feb, 2020","Suicide Squad 2",NA,NA,NA,NA,0,NA,"Live Action","Action",NA,NA,1,"Warner Bros., Atlas Entertainment","United States","Based on Comic/Graphic Novel","Super Hero",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020,"Feb"
"5","May 31, 2019","Godzilla: King of the Monsters",NA,NA,NA,NA,1,"PG-13","Live Action","Action",NA,"Creature Features, Kaiju",1,"Warner Bros., Legendary Pictures","United States","Remake","Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,"May"
"6","May 24, 2019","Minecraft",NA,NA,NA,NA,0,NA,"Live Action","Action",NA,NA,0,"Warner Bros., Vertigo Entertainment","United States","Based on Game","Fantasy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,"May"
"7","Dec 31, 2018","Acusada",NA,NA,NA,1354028,0,NA,"Live Action","Thriller/Suspense",113,NA,0,"REI Cine, K&S Films, Telefe, Piano   , Warner Bros.","Argentina",NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Dec"
"8","Dec 21, 2018","Aquaman",1.6e+08,NA,NA,151999986,1,"PG-13","Live Action","Action",143,"3-D, D.C. Comics, Underwater, Dysfunctional Family, Sibling Rivalry, Treasure Hunters",1,"Warner Bros., DC Films, RatPac Entertainment, The Safran Company, Cruel and Unusual Films, Mad Ghost Productions","United States","Based on Comic/Graphic Novel","Super Hero",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Dec"
"9","Dec 14, 2018","The Mule",NA,NA,NA,NA,1,"R","Live Action","Drama",116,"Crime, Directing Yourself, Drug Cartels, Smuggler, DEA Agent, Narcotics, Autumn Years",0,"Malpaso Productions, Imperative Entertainment, Warner Bros., Bron Creative","United States","Based on Factual Book/Article","Dramatization",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Dec"
"10","Nov 30, 2018","Head Full of Honey",NA,8715,12350,12350,0,"PG-13","Live Action","Drama",NA,NA,0,"Warner Bros., Barefoot Films","Germany,Italy,United Kingdom","Based on Movie","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Nov"
"11","Nov 21, 2018","Creed II",5e+07,35574710,99484146,122684146,1,"PG-13","Live Action","Drama",128,"Boxing, Screenplay Written By the Star, Father's Footsteps",1,"Metro-Goldwyn-Mayer Pictures, Warner Bros., New Line Cinema, Chartoff Winkler Productions","United States","Original Screenplay","Contemporary Fiction",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,"Nov"
"12","Nov 16, 2018","Fantastic Beasts: The Crime…",2e+08,62163104,148003410,572085313,1,"PG-13","Live Action","Adventure",134,"New York City, London, Ensemble, 1920s, Secret Magic, Good vs. Evil, Romance, Faulty Memory, Forbidden Romance, Prequel",1,"Heyday Films, Warner Bros.","United Kingdom,United States","Spin-Off","Fantasy",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Nov"
"13","Oct 5, 2018","A Star is Born",3.6e+07,42908051,198138074,371598814,1,"R","Live Action","Drama",140,"Remake, Singers, Film Actor, Addiction, Big Break, Movie Business, Music Industry, Musicians, Actors Making Their Directorial Debut, Directing Yourself, Screenplay Written By the Star",0,"Bill Gerber, Jon Peters, Joint Effort, Warner Bros., Live Nation Productions, Metro-Goldwyn-Mayer Pictures","United States","Remake","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,"Oct"
"14","Sep 28, 2018","Smallfoot",8e+07,23045635,82460754,213142005,1,"PG","Digital Animation","Adventure",96,"Bigfoot, Mountain Climbing, Humans as Monsters, Falsely Accused",0,"Zaftig Films, RatPac Entertainment, Warner Bros., Warner Animation Group","United States","Based on Fiction Book/Short Story","Kids Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Sep"
"15","Aug 15, 2018","Crazy Rich Asians",3e+07,26510140,173994561,238494561,1,"PG-13","Live Action","Romantic Comedy",120,"Singapore, Asian-Americans, Romance, You Can't Go Home Again, Dysfunctional Family, Cross-Class Romance, Culture Clash",0,"Color Force, Ivanhoe Pictures, Warner Bros., SK Global, Beijing Universe Starlight Culture Media Company, Electric Somewhere","United States","Based on Fiction Book/Short Story","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Aug"
"16","Aug 10, 2018","The Meg",1.5e+08,45402195,143005856,527170888,1,"PG-13","Live Action","Action",113,"Animals Gone Bad, Underwater, Exes in Love, Rescue, Dishonorable Discharge, Redemption",0,"Warner Bros., Gravity Pictures, Flagship Entertainment, Apelles Entertainment, di Bonaventura Pictures, Maeday Productions, On a Roll Productions","United States","Based on Fiction Book/Short Story","Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Aug"
"17","Spring, 2018","Justice League vs. The Fata…",NA,NA,NA,NA,0,"PG-13","Digital Animation","Adventure",NA,"Direct-to-Video",1,"Warner Bros.","United States","Based on Comic/Graphic Novel","Science Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,"Spr"
"18","Jun 8, 2018","Ocean’s 8",7e+07,41607378,139377762,296277762,1,"PG-13","Live Action","Action",110,"Heist, Life on the Outside, Fashion, Delayed Sequel, Genderbending Casting, New York City, Confidence Men",1,"Warner Bros., Village Roadshow Productions, Rahway Road ","United States","Original Screenplay","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,"Jun"
"19","Mar 29, 2018","Ready Player One",1.5e+08,41769050,137018455,578621729,1,"PG-13","Animation/Live Action","Adventure",140,"Near Future, Virtual Reality, Video Game, Environment, Government Corruption, Poverty, Treasure Hunters",0,"Warner Bros., Village Roadshow Productions, Amblin Entertainment, Dune Entertainment, De Line Pictures, Access Entertainment","United States","Based on Fiction Book/Short Story","Science Fiction",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,"Mar"
"20","Mar 16, 2018","Tomb Raider",9e+07,23633317,57421715,272648985,1,"PG-13","Live Action","Action",118,"Non-Chronological, Archaeology, Marooned, Genocide, Secret Societies, 3-D, Missing Person, Presumed Dead, Inheritance",0,"Metro-Goldwyn-Mayer Pictures, Warner Bros., GK Films, Square Enix Business","United States","Based on Game","Contemporary Fiction",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2018,"Mar"
"21","Feb 9, 2018","The 15:17 to Paris",3e+07,12554286,36250957,56070897,1,"PG-13","Live Action","Drama",94,"Non-Chronological, 2010s, Ex-soldier, Terrorism, Trains, Nightclub, Non Professional Actor, Autobiographical",0,"Village Roadshow Productions, Warner Bros., Malpaso Productions, Access Motion Pictures, Dune Entertainment","United States","Based on Factual Book/Article","Dramatization",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2018,"Feb"
"22","Jul 21, 2017","Dunkirk",1.5e+08,50513488,190068280,499900860,1,"PG-13","Live Action","Action",107,"World War II, France, 1940s, Nazis, Germany, Mass Evacuation, War",0,"Warner Bros., Syncopy, RatPac Entertainment, Dune Entertainment","France,Netherlands,United Kingdom,United States","Original Screenplay","Dramatization",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Jul"
"23","Jun 2, 2017","Wonder Woman",1.5e+08,103251471,412563408,821133378,1,"PG-13","Live Action","Action",141,"D.C. Comics, War, World War I, Gods and Goddesses, Origin Story, Marooned, Greek Mythology, 1910s, Secret Agent, Development Hell, Prologue, Voiceover/Narration, Non-Chronological",1,"Warner Bros., Atlas Entertainment, Cruel and Unusual Films, RatPac Entertainment, Dune Entertainment, Tencent Pictures , Wanda Pictures","United States","Based on Comic/Graphic Novel","Super Hero",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,"Jun"
